author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability,median_time_to_merge_inv,activity_score,merge_rate_norm,total_prs_merged_norm,median_time_to_merge_inv_norm,product_impact_ratio_norm,activity_score_norm,days_active_norm,recent_prs_norm,stability_norm,impact_score
eli-r-ph,127,113,0.889763779527559,0.1097106481481481,65,44,0.9921259842519684,4.186423375919246,9.114885536448996,1029.9820656187367,0.889763779527559,0.5067264573991032,0.17022251400784405,0.9921259842519684,0.4808148370224183,0.8311688311688312,0.37606837606837606,0.003869190683974619,0.5204998205138389
ericls,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
estefaniarabadan,49,43,0.8775510204081632,0.3181597222222222,35,24,1.0,6.978358386956856,3.143075411982975,135.15224271526793,0.8775510204081632,0.19282511210762332,0.05857592980220803,1.0,0.06308755778420518,0.44155844155844154,0.20512820512820512,0.0064495625109395145,0.35705950648168777
fasyy612,58,50,0.8620689655172413,0.7744328703703705,35,18,1.0,4.900999463587962,1.2912675045956568,64.56337522978284,0.8620689655172413,0.2242152466367713,0.023955266526637542,1.0,0.030135040104874982,0.44155844155844154,0.15384615384615385,0.004529618665841534,0.3472226874969579
feliperalmeida,2,0,0.0,,1,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.017094017094017096,0.0,0.0017094017094017096
fercgomes,72,40,0.5555555555555556,0.6752256944444445,33,44,0.8888888888888888,36.61736131594676,1.4809862957344508,59.239451829378034,0.5555555555555556,0.17937219730941703,0.02750217350271338,0.8888888888888888,0.027649709397291198,0.4155844155844156,0.37606837606837606,0.033842624253043706,0.2835925254211193
fivestarspicy,1,1,1.0,0.6893865740740741,1,0,1.0,0.0,1.4505649480382117,1.4505649480382117,1.0,0.004484304932735426,0.026933428099489294,1.0,0.0006725190206679356,0.0,0.0,0.0,0.2562835466064449
frankh,48,44,0.9166666666666666,0.1127662037037037,30,11,1.0,8.850175768124213,8.867905162680898,390.18782715795953,0.9166666666666666,0.19730941704035873,0.16560506728359725,1.0,0.18214407341585484,0.37662337662337664,0.09401709401709402,0.008179540041395147,0.3684627334308133
fuziontech,46,42,0.9130434782608696,0.0196064814814814,18,6,1.0,0.0810752418504848,51.00354191263304,2142.1487603305877,0.9130434782608696,0.18834080717488788,0.9533561542092327,1.0,1.0,0.22077922077922077,0.05128205128205128,7.493164028112763e-05,0.49485284325115786
gantoine,27,18,0.6666666666666666,0.9094212962962964,15,26,1.0,3.2310497615265934,1.0996003767149438,19.79280678086899,0.6666666666666666,0.08071748878923767,0.020371934222632004,1.0,0.009235102184354351,0.18181818181818182,0.2222222222222222,0.002986211979578402,0.23667812196194796
gdeglin,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
georgemunyoro,37,30,0.8108108108108109,3.492679398148148,27,18,0.8648648648648649,29.101408671263105,0.2863131384261062,8.589394152783186,0.8108108108108109,0.13452914798206278,0.005167039853840776,0.8648648648648649,0.004005089778053289,0.33766233766233766,0.15384615384615385,0.02689620451889082,0.2993655267557385
gesh,39,36,0.9230769230769232,0.7477604166666667,28,23,0.9743589743589745,31.510004359872603,1.3373267395695478,48.14376262450372,0.9230769230769232,0.16143497757847533,0.0248163716436425,0.9743589743589745,0.022469984779055083,0.35064935064935066,0.19658119658119658,0.029122285152167186,0.3431872513843933
gewenyu99,9,6,0.6666666666666666,5.641134259259259,7,5,0.8888888888888888,19.53482468597361,0.17726931394313433,1.063615883658806,0.6666666666666666,0.026905829596412557,0.0031283999308523843,0.8888888888888888,0.0004918822384220019,0.07792207792207792,0.042735042735042736,0.0180545431985722,0.19044078285379282
giulio-leone,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
grandhi02,2,0,0.0,,2,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
